bedtimeStart,Date,bedtimeEnd,Type,Provider,sleepScore,date,lightSleepDuration,sleepLatency,sleepEfficiency,provider,deepSleepDuration,remSleepDuration,CreatedAt,type,totalSleepDuration,averageHR,intenseActivity,caloriesBurned,steps,moderateActivity,softActivity
1705729202,2024-01-20,1705751462,sleep_Oura,Oura,60,2024-01-20,6810,240,90,Oura,8760,4470,1705961954,sleep,,,,,,,
1705815002,2024-01-21,1705837322,sleep_Oura,Oura,61,2024-01-21,9780,510,94,Oura,8220,2880,1705866899,sleep,,,,,,,
1705897142,2024-01-22,1705921022,sleep_Oura,Oura,60,2024-01-22,11970,270,93,Oura,5970,4230,1705958715,sleep,,,,,,,
1705985522,2024-01-23,1706005622,sleep_Oura,Oura,61,2024-01-23,9300,300,92,Oura,6330,2790,1706019731,sleep,,,,,,,
1706067721,2024-01-24,1706092861,sleep_Oura,Oura,53,2024-01-24,10950,420,91,Oura,6960,4920,1706093487,sleep,,,,,,,
1706159444,2024-01-25,1706178464,sleep_Oura,Oura,65,2024-01-25,9990,510,92,Oura,4980,2550,1706179738,sleep,,,,,,,
1706250843,2024-01-26,1706272383,sleep_Oura,Oura,60,2024-01-26,9360,210,94,Oura,7650,3210,1706493580,sleep,359,,,,,,
1706335979,2024-01-27,1706358779,sleep_Oura,Oura,60,2024-01-27,10470,330,93,Oura,6630,3990,1706493566,sleep,380,,,,,,
1706419319,2024-01-28,1706443859,sleep_Oura,Oura,60,2024-01-28,11520,300,90,Oura,8400,2250,1706493585,sleep,409,,,,,,
1706501821,2024-01-29,1706517121,sleep_Oura,Oura,60,2024-01-29,6390,450,93,Oura,5880,1980,1706560803,sleep,255,,,,,,
1706582692,2024-01-30,1706609452,sleep_Oura,Oura,61,2024-01-30,12180,240,87,Oura,7320,3720,1706622896,sleep,446,60.375,,,,,
1706672077,2024-01-31,1706697097,sleep_Oura,Oura,62,2024-01-31,12360,210,94,Oura,8580,2700,1706750039,sleep,417,64.75,,,,,
